,wav,maggies
263,16351806.926848639,1.5793129450520144e-10
264,16261692.726422774,1.608123116120375e-10
265,16172075.142007265,1.637408718264088e-10
266,16082951.436769765,1.6670784725873663e-10
267,15994318.888960436,1.6969645212478272e-10
268,15906174.791828962,1.7273096751866724e-10
269,15818516.453541823,1.7582494311107625e-10
270,15731341.197100036,1.789334763604939e-10
271,15644646.360257523,1.8206172494323817e-10
272,15558429.29543974,1.8536070850281842e-10
273,15472687.369662765,1.8874515612111086e-10
274,15387417.96445305,1.921407083688181e-10
275,15302618.475767262,1.9559949622403416e-10
276,15218286.313912923,1.991240622929986e-10
277,15134418.903469209,2.026866386357144e-10
278,15051013.68320837,2.0631586689470334e-10
279,14968068.106017504,2.1004297296043968e-10
280,14885579.638820695,2.1399726041147534e-10
281,14803545.762501767,2.181957497184424e-10
282,14721963.971827293,2.2232599395334026e-10
283,14640831.77537007,2.265595575737756e-10
284,14560146.695433063,2.3096616331485502e-10
285,14479906.267973749,2.3529948877293723e-10
286,14400108.042528864,2.3949405835801217e-10
287,14320749.5821395,2.4351074275234806e-10
288,14241828.463276798,2.475142561410568e-10
289,14163342.275767861,2.5157434698209407e-10
290,14085288.62272214,2.555692687878389e-10
291,14007665.120458297,2.595450747539276e-10
292,13930469.398431333,2.6379976460446084e-10
293,13853699.099160282,2.682386174514393e-10
294,13777351.87815611,2.7279963607865397e-10
295,13701425.403850231,2.7748242903933537e-10
296,13625917.357523236,2.8226962962411166e-10
297,13550825.433234049,2.8708128184754406e-10
298,13476147.33774959,2.919636357117298e-10
299,13401880.790474715,2.969487137402434e-10
300,13328023.523382498,3.021152039041519e-10
301,13254573.280945089,3.0748251742366597e-10
302,13181527.820064709,3.1291663271871496e-10
303,13108884.910005264,3.1842321275661796e-10
304,13036642.332324116,3.239821455005737e-10
305,12964797.880804406,3.2961298898496036e-10
306,12893349.361387674,3.353150446720708e-10
307,12822294.592106776,3.410336760311057e-10
308,12751631.40301936,3.468231721431084e-10
309,12681357.636141544,3.526948244237028e-10
310,12611471.145381968,3.5862536773172433e-10
311,12541969.796476364,3.646274994634037e-10
312,12472851.46692226,3.709406654391027e-10
313,12404114.04591426,3.7743186039018887e-10
314,12335755.434279501,3.8400497666481844e-10
315,12267773.544413613,3.9064970069046213e-10
316,12200166.300216932,3.9736814601054965e-10
317,12132931.637031073,4.041711218588671e-10
318,12066067.501575945,4.110581169566684e-10
319,11999571.851886999,4.1798727227460426e-10
320,11933442.65725285,4.250134081840054e-10
321,11867677.898153309,4.3215985748857547e-10
322,11802275.566197686,4.397270855208838e-10
323,11737233.66406347,4.475378321252965e-10
324,11672550.205435293,4.554937269149169e-10
325,11608223.214944309,4.634104497160474e-10
326,11544250.728107877,4.713964496698845e-10
327,11480630.791269505,4.801351311891584e-10
328,11417361.461539282,4.89487104298496e-10
329,11354440.806734424,4.993921245620876e-10
330,11291866.905320402,5.100139615224329e-10
331,11229637.846352147,5.211943819596334e-10
332,11167751.729415752,5.316251496649994e-10
333,11106206.664570447,5.416945169142103e-10
334,11045000.772290792,5.507966185008208e-10
335,10984132.183409398,5.595373359333189e-10
336,10923599.039059788,5.679751322026004e-10
337,10863399.490619577,5.760231939184695e-10
338,10803531.699654128,5.842589983581991e-10
339,10743993.837860303,5.92707183823668e-10
340,10684784.087010723,6.017351849765678e-10
341,10625900.63889813,6.113010883758228e-10
342,10567341.695280291,6.213897693714578e-10
343,10509105.467824988,6.318510435927556e-10
344,10451190.178055432,6.426332055026756e-10
345,10393594.057295963,6.536640627058156e-10
346,10336315.346618038,6.649557935849239e-10
347,10279352.29678647,6.769582778479906e-10
348,10222703.16820608,6.890907107878842e-10
349,10166366.230868505,7.006224497065463e-10
350,10110339.76429942,7.125264383335084e-10
351,10054622.057505934,7.249039363003699e-10
352,9999211.408924406,7.371487391884296e-10
353,9944106.126368452,7.493714318063103e-10
354,9889304.526977226,7.614115083535986e-10
355,9834804.937164107,7.732915769785424e-10
356,9780605.692565532,7.849868691190367e-10
357,9726705.137990182,7.96329065211221e-10
358,9673101.627368422,8.077038661006668e-10
359,9619793.52370207,8.194110685089727e-10
360,9566779.199014382,8.305013370331446e-10
361,9514057.034300305,8.410595639834666e-10
362,9461625.419477083,8.520656892490223e-10
363,9409482.753335075,8.63032151922546e-10
364,9357627.44348882,8.732846823567118e-10
365,9306057.906328458,8.838910602964872e-10
366,9254772.566971326,8.949925130846438e-10
367,9203769.859213904,9.062383488294148e-10
368,9153048.225483928,9.175848721114237e-10
369,9102606.116792887,9.289191596094209e-10
370,9052441.992688684,9.40422738561199e-10
371,9002554.321208574,9.521682552767788e-10
372,8952941.578832423,9.649107204192745e-10
373,8903602.250436168,9.778916134369116e-10
374,8854534.8292455,9.903924344631032e-10
375,8805737.816789934,1.0030389401173456e-09
376,8757209.722856961,1.0159492584926354e-09
377,8708949.06544661,1.0300063666138826e-09
378,8660954.370726122,1.0445683331546936e-09
379,8613224.172985004,1.0590095656939668e-09
380,8565757.014590243,1.0727197090490868e-09
381,8518551.445941754,1.0858824116177981e-09
382,8471606.025428174,1.0997182700807024e-09
383,8424919.319382804,1.1138786024038794e-09
384,8378489.90203981,1.1279756478616681e-09
385,8332316.355490725,1.1422565090969863e-09
386,8286397.269641093,1.156756683579823e-09
387,8240731.242167476,1.1714904697356578e-09
388,8195316.878474544,1.1867108348813794e-09
389,8150152.79165256,1.2031432109670811e-09
390,8105237.602435001,1.2192077350792949e-09
391,8060569.939156397,1.2349126993715885e-09
392,8016148.437710503,1.2517625024257396e-09
393,7971971.741508613,1.2686892562725444e-09
394,7928038.501438119,1.2845842578831146e-09
395,7884347.375821313,1.301469697607714e-09
396,7840897.030374446,1.3195304112016294e-09
397,7797686.138166956,1.337531142833815e-09
398,7754713.3795809215,1.3551877233517062e-09
399,7711977.4422708135,1.3717469479218853e-09
400,7669477.021123382,1.3891070027205932e-09
401,7627210.818217791,1.40758659888409e-09
402,7585177.542786023,1.4261191677151268e-09
403,7543375.9111734275,1.4451788792462663e-09
404,7501804.646799521,1.4660397224063044e-09
405,7460462.480118996,1.4859570273785132e-09
406,7419348.148582991,1.505018294485943e-09
407,7378460.396600494,1.5240520618378208e-09
408,7337797.975499988,1.543690425212239e-09
409,7297359.643491363,1.5651193640214561e-09
410,7257144.165627965,1.5854463558018473e-09
411,7217150.313768871,1.6050066295545776e-09
412,7177376.866541415,1.6261179385711022e-09
413,7137822.609303847,1.6472850368419374e-09
414,7098486.334108294,1.667108148815273e-09
415,7059366.839663804,1.687939710808717e-09
416,7020462.931299721,1.7100068207167864e-09
417,6981773.42092917,1.7317706511507122e-09
418,6943297.127012772,1.7535552887473311e-09
419,6905032.874522566,1.7753647007113648e-09
420,6866979.494906135,1.7976214325109264e-09
421,6829135.826050902,1.820327397587072e-09
422,6791500.712248655,1.8428522255772294e-09
423,6754073.00416025,1.8655786638961467e-09
424,6716851.558780501,1.888820411693815e-09
425,6679835.239403287,1.9122484660342636e-09
426,6643022.9155868245,1.9359184091705325e-09
427,6606413.463119162,1.9606479264529022e-09
428,6570005.76398383,1.987252155647994e-09
429,6533798.706325714,2.0185860939070548e-09
430,6497791.184417086,2.0581680168959837e-09
431,6461982.098623846,2.113742593934896e-09
432,6426370.355371932,2.1912506086334495e-09
433,6390954.867113929,2.3021410201263296e-09
434,6355734.552295863,2.442485797070991e-09
435,6320708.335324158,2.6076392701669405e-09
436,6285875.1465327935,2.782041328373008e-09
437,6251233.922150635,2.920924112936255e-09
438,6216783.604268957,3.0266950884218607e-09
439,6182523.140809135,3.051564728713046e-09
440,6148451.485490498,3.016352696684293e-09
441,6114567.597798397,2.9327410896264668e-09
442,6080870.442952418,2.8146687793172514e-09
443,6047358.991874782,2.7083527762853056e-09
444,6014032.221158929,2.614772513023066e-09
445,5980889.113038238,2.5525379795208143e-09
446,5947928.655354978,2.518633429499635e-09
447,5915149.841529368,2.508146295998036e-09
448,5882551.6705288645,2.5150090027387835e-09
449,5850133.146837561,2.5316643093678445e-09
450,5817893.280425821,2.554067748592687e-09
451,5785831.086720011,2.5791233813769962e-09
452,5753945.586572449,2.6061861902059157e-09
453,5722235.806231501,2.6339357136497767e-09
454,5690700.777311839,2.661719854829618e-09
455,5659339.536764877,2.689962001127682e-09
456,5628151.1268493505,2.7186252594972915e-09
457,5597134.59510207,2.746823522038816e-09
458,5566288.994308836,2.7751117597514173e-09
459,5535613.382475508,2.803791668073055e-09
460,5505106.8227992505,2.832715063342666e-09
461,5474768.383639904,2.8618576056667265e-09
462,5444597.138491546,2.891089682392489e-09
463,5414592.165954195,2.920410512529293e-09
464,5384752.5497056665,2.949565881227888e-09
465,5355077.378473601,2.9789768966311897e-09
466,5325565.746007619,3.0086344448042978e-09
467,5296216.75105166,3.0380041598055555e-09
468,5267029.497316448,3.0674405267966806e-09
469,5238003.093452122,3.097014906090396e-09
470,5209136.653021024,3.1266196757899703e-09
471,5180429.294470615,3.156219479969008e-09
472,5151880.14110656,3.185616152992257e-09
473,5123488.321065958,3.215097491449241e-09
474,5095252.967290707,3.2447191052744316e-09
475,5067173.217501032,3.2745911817476497e-09
476,5039248.214169152,3.304674575840269e-09
477,5011477.104493085,3.3343880145100908e-09
478,4983859.040370614,3.364213759853512e-09
479,4956393.17837338,3.394450026577725e-09
480,4929078.67972112,3.4245445050419264e-09
481,4901914.710256071,3.454489196345067e-09
482,4874900.440417472,3.484792795268333e-09
483,4848035.045216244,3.5152043977859007e-09
484,4821317.7042097915,3.5452497202903804e-09
485,4794747.60147695,3.575111076166925e-09
486,4768323.9255930595,3.6048303359089005e-09
487,4742045.8696052,3.6347045081675115e-09
488,4715912.631007535,3.664632194736236e-09
489,4689923.411716808,3.6942846275076808e-09
490,4664077.418047966,3.724042254977714e-09
491,4638373.860689928,3.753902117207921e-09
492,4612811.954681483,3.783487691270158e-09
493,4587390.919387302,3.813120080839253e-09
494,4562109.978474116,3.842892970655795e-09
495,4536968.359886994,3.872811468009466e-09
496,4511965.295825772,3.902812714928856e-09
497,4487100.022721609,3.932121546384606e-09
498,4462371.781213658,3.96138172086627e-09
499,4437779.816125886,3.990880361740347e-09
500,4413323.376444003,4.020084884217347e-09
501,4389001.715292531,4.048959591115468e-09
502,4364814.089912001,4.07736718700818e-09
503,4340759.761636258,4.105819807420114e-09
504,4316837.995869908,4.134620680187657e-09
